ID,TARGET
2024-07-04_B09KTJRHC7,76
2024-07-05_B09KTJRHC7,76
2024-07-06_B09KTJRHC7,76
2024-07-07_B09KTJRHC7,76
2024-07-08_B09KTJRHC7,76
2024-07-09_B09KTJRHC7,76
2024-07-10_B09KTJRHC7,76
2024-07-11_B09KTJRHC7,76
2024-07-12_B09KTJRHC7,76
2024-07-13_B09KTJRHC7,76
2024-07-14_B09KTJRHC7,76
2024-07-15_B09KTJRHC7,76
2024-07-01_B09KTMKDKJ,44
2024-07-02_B09KTMKDKJ,71
2024-07-03_B09KTMKDKJ,91
2024-07-04_B09KTMKDKJ,105
2024-07-05_B09KTMKDKJ,116
2024-07-06_B09KTMKDKJ,125
2024-07-07_B09KTMKDKJ,131
2024-07-08_B09KTMKDKJ,135
2024-07-09_B09KTMKDKJ,139
2024-07-10_B09KTMKDKJ,141
2024-07-11_B09KTMKDKJ,143
2024-07-12_B09KTMKDKJ,144
2024-07-13_B09KTMKDKJ,145
2024-07-14_B09KTMKDKJ,146
2024-07-15_B09KTMKDKJ,147
2024-07-01_B09KTMLQ1N,103
2024-07-02_B09KTMLQ1N,88
2024-07-03_B09KTMLQ1N,84
2024-07-04_B09KTMLQ1N,76
2024-07-05_B09KTMLQ1N,74
2024-07-06_B09KTMLQ1N,69
2024-07-07_B09KTMLQ1N,68
2024-07-08_B09KTMLQ1N,64
2024-07-09_B09KTMLQ1N,63
2024-07-10_B09KTMLQ1N,60
2024-07-11_B09KTMLQ1N,58
2024-07-12_B09KTMLQ1N,56
2024-07-13_B09KTMLQ1N,54
2024-07-14_B09KTMLQ1N,52
2024-07-15_B09KTMLQ1N,51
2024-07-01_B09MR5WS3Y,1
2024-07-02_B09MR5WS3Y,0
2024-07-03_B09MR5WS3Y,0
2024-07-04_B09MR5WS3Y,0
2024-07-05_B09MR5WS3Y,0
2024-07-06_B09MR5WS3Y,0
2024-07-07_B09MR5WS3Y,0
2024-07-08_B09MR5WS3Y,0
2024-07-09_B09MR5WS3Y,0
2024-07-10_B09MR5WS3Y,0
2024-07-11_B09MR5WS3Y,0
2024-07-12_B09MR5WS3Y,0
2024-07-13_B09MR5WS3Y,0
2024-07-14_B09MR5WS3Y,0
2024-07-15_B09MR5WS3Y,0
2024-07-01_B09KSXP3HN,27
2024-07-02_B09KSXP3HN,27
2024-07-03_B09KSXP3HN,27
2024-07-04_B09KSXP3HN,27
2024-07-05_B09KSXP3HN,27
2024-07-06_B09KSXP3HN,27
2024-07-07_B09KSXP3HN,27
2024-07-08_B09KSXP3HN,27
2024-07-09_B09KSXP3HN,27
2024-07-10_B09KSXP3HN,27
2024-07-11_B09KSXP3HN,27
2024-07-12_B09KSXP3HN,27
2024-07-13_B09KSXP3HN,27
2024-07-14_B09KSXP3HN,27
2024-07-15_B09KSXP3HN,27
2024-07-01_B09MR3XT5G,51
2024-07-02_B09MR3XT5G,51
2024-07-03_B09MR3XT5G,52
2024-07-04_B09MR3XT5G,52
2024-07-05_B09MR3XT5G,53
2024-07-06_B09MR3XT5G,52
2024-07-07_B09MR3XT5G,52
2024-07-08_B09MR3XT5G,52
2024-07-09_B09MR3XT5G,52
2024-07-10_B09MR3XT5G,52
2024-07-11_B09MR3XT5G,52
2024-07-12_B09MR3XT5G,52
2024-07-13_B09MR3XT5G,52
2024-07-14_B09MR3XT5G,52
2024-07-15_B09MR3XT5G,52
2024-07-01_B09MR3Y296,23
2024-07-02_B09MR3Y296,31
2024-07-03_B09MR3Y296,36
2024-07-04_B09MR3Y296,45
2024-07-05_B09MR3Y296,49
2024-07-06_B09MR3Y296,53
2024-07-07_B09MR3Y296,56
2024-07-08_B09MR3Y296,58
2024-07-09_B09MR3Y296,60
2024-07-10_B09MR3Y296,62
2024-07-11_B09MR3Y296,63
2024-07-12_B09MR3Y296,64
2024-07-13_B09MR3Y296,65
2024-07-14_B09MR3Y296,66
2024-07-15_B09MR3Y296,66
2024-07-01_B09MR4B13C,47
2024-07-02_B09MR4B13C,58
2024-07-03_B09MR4B13C,64
2024-07-04_B09MR4B13C,71
2024-07-05_B09MR4B13C,77
2024-07-06_B09MR4B13C,82
2024-07-07_B09MR4B13C,86
2024-07-08_B09MR4B13C,90
2024-07-09_B09MR4B13C,93
2024-07-10_B09MR4B13C,95
2024-07-11_B09MR4B13C,98
2024-07-12_B09MR4B13C,99
2024-07-13_B09MR4B13C,101
2024-07-14_B09MR4B13C,102
2024-07-15_B09MR4B13C,103
2024-07-01_B09MR4G722,9
2024-07-02_B09MR4G722,7
2024-07-03_B09MR4G722,8
2024-07-04_B09MR4G722,8
2024-07-05_B09MR4G722,8
2024-07-06_B09MR4G722,8
2024-07-07_B09MR4G722,8
2024-07-08_B09MR4G722,8
2024-07-09_B09MR4G722,8
2024-07-10_B09MR4G722,8
2024-07-11_B09MR4G722,8
2024-07-15_B09MR4G722,8
2024-07-16_B09MR4G722,8
2024-07-17_B09MR4G722,8
2024-07-18_B09MR4G722,8
2024-07-01_B09MR4Z3H8,5
2024-07-02_B09MR4Z3H8,5
2024-07-03_B09MR4Z3H8,5
2024-07-04_B09MR4Z3H8,5
2024-07-05_B09MR4Z3H8,5
2024-07-06_B09MR4Z3H8,5
2024-07-07_B09MR4Z3H8,5
2024-07-08_B09MR4Z3H8,5
2024-07-09_B09MR4Z3H8,5
2024-07-10_B09MR4Z3H8,5
2024-07-11_B09MR4Z3H8,5
2024-07-12_B09MR4Z3H8,5
2024-07-13_B09MR4Z3H8,5
2024-07-14_B09MR4Z3H8,5
2024-07-15_B09MR4Z3H8,5
2024-07-03_B09MR5Q6HJ,0
2024-07-04_B09MR5Q6HJ,1
2024-07-05_B09MR5Q6HJ,1
2024-07-06_B09MR5Q6HJ,1
2024-07-07_B09MR5Q6HJ,1
2024-07-08_B09MR5Q6HJ,1
2024-07-20_B09MR5Q6HJ,1
2024-07-21_B09MR5Q6HJ,1
2024-07-22_B09MR5Q6HJ,1
2024-07-23_B09MR5Q6HJ,1
2024-07-01_B09MR2FY5D,12
2024-07-02_B09MR2FY5D,7
2024-07-03_B09MR2FY5D,10
2024-07-04_B09MR2FY5D,10
2024-07-05_B09MR2FY5D,10
2024-07-06_B09MR2FY5D,10
2024-07-07_B09MR2FY5D,10
2024-07-08_B09MR2FY5D,10
2024-07-09_B09MR2FY5D,10
2024-07-10_B09MR2FY5D,10
2024-07-11_B09MR2FY5D,10
2024-07-12_B09MR2FY5D,10
2024-07-13_B09MR2FY5D,10
2024-07-14_B09MR2FY5D,10
2024-07-15_B09MR2FY5D,10
2024-07-01_B09KDR64LT,0
2024-07-02_B09KDR64LT,0
2024-07-03_B09KDR64LT,0
2024-07-04_B09KDR64LT,0
2024-07-05_B09KDR64LT,0
2024-07-06_B09KDR64LT,0
2024-07-07_B09KDR64LT,0
2024-07-08_B09KDR64LT,0
2024-07-09_B09KDR64LT,0
2024-07-10_B09KDR64LT,0
2024-07-11_B09KDR64LT,0
2024-07-12_B09KDR64LT,0
2024-07-13_B09KDR64LT,0
2024-07-14_B09KDR64LT,0
2024-07-15_B09KDR64LT,0
2024-07-01_B09KDN7PYR,0
2024-07-02_B09KDN7PYR,0
2024-07-03_B09KDN7PYR,1
2024-07-04_B09KDN7PYR,1
2024-07-05_B09KDN7PYR,1
2024-07-06_B09KDN7PYR,1
2024-07-07_B09KDN7PYR,1
2024-07-08_B09KDN7PYR,1
2024-07-09_B09KDN7PYR,1
2024-07-10_B09KDN7PYR,1
2024-07-11_B09KDN7PYR,1
2024-07-12_B09KDN7PYR,1
2024-07-13_B09KDN7PYR,1
2024-07-14_B09KDN7PYR,2
2024-07-15_B09KDN7PYR,2
2024-07-01_B09KDVXTP4,0
2024-07-02_B09KDVXTP4,0
2024-07-03_B09KDVXTP4,0
2024-07-04_B09KDVXTP4,0
2024-07-05_B09KDVXTP4,0
2024-07-06_B09KDVXTP4,0
2024-07-07_B09KDVXTP4,0
2024-07-08_B09KDVXTP4,0
2024-07-09_B09KDVXTP4,0
2024-07-10_B09KDVXTP4,0
2024-07-11_B09KDVXTP4,0
2024-07-12_B09KDVXTP4,0
2024-07-13_B09KDVXTP4,0
2024-07-15_B09KDVXTP4,0
2024-07-16_B09KDVXTP4,0
2024-07-01_B09KDXJJ6W,1
2024-07-02_B09KDXJJ6W,0
2024-07-03_B09KDXJJ6W,0
2024-07-04_B09KDXJJ6W,1
2024-07-05_B09KDXJJ6W,1
2024-07-06_B09KDXJJ6W,1
2024-07-07_B09KDXJJ6W,0
2024-07-08_B09KDXJJ6W,1
2024-07-09_B09KDXJJ6W,1
2024-07-10_B09KDXJJ6W,1
2024-07-11_B09KDXJJ6W,1
2024-07-12_B09KDXJJ6W,1
2024-07-13_B09KDXJJ6W,1
2024-07-14_B09KDXJJ6W,1
2024-07-15_B09KDXJJ6W,1
2024-07-01_B09KDPXYG3,0
2024-07-02_B09KDPXYG3,0
2024-07-03_B09KDPXYG3,0
2024-07-04_B09KDPXYG3,0
2024-07-05_B09KDPXYG3,0
2024-07-06_B09KDPXYG3,0
2024-07-07_B09KDPXYG3,0
2024-07-08_B09KDPXYG3,0
2024-07-10_B09KDPXYG3,0
2024-07-11_B09KDPXYG3,0
2024-07-12_B09KDPXYG3,0
2024-07-14_B09KDPXYG3,0
2024-07-15_B09KDPXYG3,0
2024-07-16_B09KDPXYG3,0
2024-07-17_B09KDPXYG3,0
2024-07-01_B09KDNYCYR,1
2024-07-02_B09KDNYCYR,1
2024-07-03_B09KDNYCYR,1
2024-07-04_B09KDNYCYR,2
2024-07-05_B09KDNYCYR,2
2024-07-06_B09KDNYCYR,2
2024-07-07_B09KDNYCYR,2
2024-07-08_B09KDNYCYR,2
2024-07-09_B09KDNYCYR,2
2024-07-10_B09KDNYCYR,3
2024-07-11_B09KDNYCYR,3
2024-07-12_B09KDNYCYR,3
2024-07-16_B09KDNYCYR,3
2024-07-17_B09KDNYCYR,3
2024-07-18_B09KDNYCYR,3
2024-07-01_B09KTFXX6L,5
2024-07-02_B09KTFXX6L,5
2024-07-03_B09KTFXX6L,4
2024-07-04_B09KTFXX6L,4
2024-07-05_B09KTFXX6L,4
2024-07-06_B09KTFXX6L,4
2024-07-07_B09KTFXX6L,4
2024-07-08_B09KTFXX6L,4
2024-07-09_B09KTFXX6L,4
2024-07-10_B09KTFXX6L,4
2024-07-11_B09KTFXX6L,4
2024-07-12_B09KTFXX6L,4
2024-07-13_B09KTFXX6L,4
2024-07-14_B09KTFXX6L,4
2024-07-15_B09KTFXX6L,4
2024-07-01_B09X1F1L26,14
2024-07-02_B09X1F1L26,15
2024-07-03_B09X1F1L26,13
2024-07-04_B09X1F1L26,14
2024-07-05_B09X1F1L26,12
2024-07-06_B09X1F1L26,12
2024-07-07_B09X1F1L26,11
2024-07-08_B09X1F1L26,11
2024-07-09_B09X1F1L26,10
2024-07-10_B09X1F1L26,10
2024-07-11_B09X1F1L26,9
2024-07-12_B09X1F1L26,9
2024-07-13_B09X1F1L26,9
2024-07-14_B09X1F1L26,9
2024-07-15_B09X1F1L26,8
2024-07-01_B09MR4Z3H9,3
2024-07-02_B09MR4Z3H9,3
2024-07-03_B09MR4Z3H9,3
2024-07-04_B09MR4Z3H9,3
2024-07-05_B09MR4Z3H9,3
2024-07-06_B09MR4Z3H9,3
2024-07-07_B09MR4Z3H9,3
2024-07-08_B09MR4Z3H9,3
2024-07-09_B09MR4Z3H9,3
2024-07-10_B09MR4Z3H9,3
2024-07-11_B09MR4Z3H9,3
2024-07-12_B09MR4Z3H9,3
2024-07-13_B09MR4Z3H9,3
2024-07-14_B09MR4Z3H9,3
2024-07-15_B09MR4Z3H9,3
2024-07-01_B09X1HV1NL,1
2024-07-02_B09X1HV1NL,1
2024-07-03_B09X1HV1NL,1
2024-07-04_B09X1HV1NL,1
2024-07-05_B09X1HV1NL,1
2024-07-06_B09X1HV1NL,1
2024-07-07_B09X1HV1NL,1
2024-07-08_B09X1HV1NL,1
2024-07-09_B09X1HV1NL,1
2024-07-10_B09X1HV1NL,1
2024-07-11_B09X1HV1NL,1
2024-07-12_B09X1HV1NL,1
2024-07-13_B09X1HV1NL,1
2024-07-14_B09X1HV1NL,1
2024-07-15_B09X1HV1NL,1
2024-07-01_B09X1JTK49,1
2024-07-02_B09X1JTK49,1
2024-07-03_B09X1JTK49,1
2024-07-04_B09X1JTK49,1
2024-07-05_B09X1JTK49,1
2024-07-06_B09X1JTK49,1
2024-07-07_B09X1JTK49,1
2024-07-08_B09X1JTK49,1
2024-07-09_B09X1JTK49,1
2024-07-10_B09X1JTK49,1
2024-07-11_B09X1JTK49,1
2024-07-12_B09X1JTK49,1
2024-07-13_B09X1JTK49,1
2024-07-14_B09X1JTK49,1
2024-07-15_B09X1JTK49,1
2024-07-01_B09MR36MLJ,1
2024-07-02_B09MR36MLJ,1
2024-07-03_B09MR36MLJ,1
2024-07-04_B09MR36MLJ,1
2024-07-05_B09MR36MLJ,1
2024-07-06_B09MR36MLJ,1
2024-07-07_B09MR36MLJ,1
2024-07-08_B09MR36MLJ,1
2024-07-09_B09MR36MLJ,1
2024-07-10_B09MR36MLJ,1
2024-07-11_B09MR36MLJ,1
2024-07-12_B09MR36MLJ,1
2024-07-14_B09MR36MLJ,1
2024-07-15_B09MR36MLJ,1
2024-07-16_B09MR36MLJ,1
2024-07-01_B09MR56Q9N,4
2024-07-02_B09MR56Q9N,3
2024-07-03_B09MR56Q9N,3
2024-07-04_B09MR56Q9N,3
2024-07-05_B09MR56Q9N,3
2024-07-06_B09MR56Q9N,3
2024-07-07_B09MR56Q9N,3
2024-07-08_B09MR56Q9N,3
2024-07-09_B09MR56Q9N,3
2024-07-10_B09MR56Q9N,3
2024-07-11_B09MR56Q9N,3
2024-07-12_B09MR56Q9N,3
2024-07-13_B09MR56Q9N,3
2024-07-14_B09MR56Q9N,3
2024-07-15_B09MR56Q9N,3
2024-07-01_B09KDTHJ6V,0
2024-07-02_B09KDTHJ6V,0
2024-07-03_B09KDTHJ6V,1
2024-07-04_B09KDTHJ6V,1
2024-07-05_B09KDTHJ6V,1
2024-07-06_B09KDTHJ6V,1
2024-07-07_B09KDTHJ6V,1
2024-07-08_B09KDTHJ6V,1
2024-07-09_B09KDTHJ6V,1
2024-07-10_B09KDTHJ6V,1
2024-07-11_B09KDTHJ6V,1
2024-07-12_B09KDTHJ6V,1
2024-07-13_B09KDTHJ6V,1
2024-07-14_B09KDTHJ6V,1
2024-07-15_B09KDTHJ6V,1
2024-07-01_B09KDQ2BWY,0
2024-07-02_B09KDQ2BWY,1
2024-07-03_B09KDQ2BWY,1
2024-07-04_B09KDQ2BWY,1
2024-07-05_B09KDQ2BWY,1
2024-07-06_B09KDQ2BWY,1
2024-07-07_B09KDQ2BWY,1
2024-07-08_B09KDQ2BWY,1
2024-07-09_B09KDQ2BWY,1
2024-07-10_B09KDQ2BWY,1
2024-07-11_B09KDQ2BWY,1
2024-07-12_B09KDQ2BWY,1
2024-07-13_B09KDQ2BWY,1
2024-07-14_B09KDQ2BWY,1
2024-07-15_B09KDQ2BWY,1
2024-07-01_B09KDYY3SB,0
2024-07-02_B09KDYY3SB,1
2024-07-03_B09KDYY3SB,1
2024-07-04_B09KDYY3SB,1
2024-07-05_B09KDYY3SB,1
2024-07-06_B09KDYY3SB,1
2024-07-07_B09KDYY3SB,1
2024-07-08_B09KDYY3SB,2
2024-07-09_B09KDYY3SB,2
2024-07-10_B09KDYY3SB,2
2024-07-11_B09KDYY3SB,2
2024-07-12_B09KDYY3SB,2
2024-07-13_B09KDYY3SB,2
2024-07-14_B09KDYY3SB,2
2024-07-15_B09KDYY3SB,2
2024-07-01_B09KDW1YKQ,0
2024-07-02_B09KDW1YKQ,0
2024-07-03_B09KDW1YKQ,0
2024-07-04_B09KDW1YKQ,0
2024-07-05_B09KDW1YKQ,0
2024-07-06_B09KDW1YKQ,0
2024-07-07_B09KDW1YKQ,0
2024-07-08_B09KDW1YKQ,0
2024-07-09_B09KDW1YKQ,0
2024-07-10_B09KDW1YKQ,0
2024-07-11_B09KDW1YKQ,0
2024-07-12_B09KDW1YKQ,0
2024-07-13_B09KDW1YKQ,0
2024-07-14_B09KDW1YKQ,0
2024-07-15_B09KDW1YKQ,0
2024-07-01_B09KDZQJ6P,8
2024-07-02_B09KDZQJ6P,8
2024-07-03_B09KDZQJ6P,7
2024-07-04_B09KDZQJ6P,9
2024-07-05_B09KDZQJ6P,9
2024-07-06_B09KDZQJ6P,9
2024-07-07_B09KDZQJ6P,10
2024-07-08_B09KDZQJ6P,10
2024-07-09_B09KDZQJ6P,10
2024-07-10_B09KDZQJ6P,11
2024-07-11_B09KDZQJ6P,11
2024-07-12_B09KDZQJ6P,11
2024-07-13_B09KDZQJ6P,11
2024-07-14_B09KDZQJ6P,11
2024-07-15_B09KDZQJ6P,11
2024-07-01_B09KDLQ2GW,1
2024-07-02_B09KDLQ2GW,1
2024-07-03_B09KDLQ2GW,1
2024-07-04_B09KDLQ2GW,2
2024-07-05_B09KDLQ2GW,2
2024-07-06_B09KDLQ2GW,2
2024-07-07_B09KDLQ2GW,2
2024-07-08_B09KDLQ2GW,2
2024-07-09_B09KDLQ2GW,2
2024-07-10_B09KDLQ2GW,2
2024-07-11_B09KDLQ2GW,2
2024-07-12_B09KDLQ2GW,2
2024-07-13_B09KDLQ2GW,2
2024-07-14_B09KDLQ2GW,2
2024-07-15_B09KDLQ2GW,2
2024-07-16_B09MR4D874,0
2024-07-17_B09MR4D874,0
2024-07-18_B09MR4D874,0
2024-07-19_B09MR4D874,0
2024-07-20_B09MR4D874,0
2024-07-21_B09MR4D874,0
2024-07-22_B09MR4D874,0
2024-07-23_B09MR4D874,0
2024-07-25_B09MR4D874,0
2024-07-26_B09MR4D874,0
2024-07-01_B09MR3RSW8,1
2024-07-02_B09MR3RSW8,1
2024-07-03_B09MR3RSW8,1
2024-07-04_B09MR3RSW8,1
2024-07-05_B09MR3RSW8,1
2024-07-06_B09MR3RSW8,1
2024-07-07_B09MR3RSW8,1
2024-07-08_B09MR3RSW8,1
2024-07-09_B09MR3RSW8,1
2024-07-10_B09MR3RSW8,1
2024-07-11_B09MR3RSW8,1
2024-07-12_B09MR3RSW8,1
2024-07-13_B09MR3RSW8,1
2024-07-14_B09MR3RSW8,1
2024-07-15_B09MR3RSW8,1
2024-07-01_B09X1DHRLN,0
2024-07-02_B09X1DHRLN,0
2024-07-06_B09X1DHRLN,0
2024-07-07_B09X1DHRLN,0
2024-07-08_B09X1DHRLN,0
2024-07-09_B09X1DHRLN,0
2024-07-10_B09X1DHRLN,0
2024-07-11_B09X1DHRLN,0
2024-07-12_B09X1DHRLN,0
2024-07-14_B09X1DHRLN,0
2024-07-15_B09X1DHRLN,0
2024-07-24_B09X1DHRLN,0
2024-07-25_B09X1DHRLN,0
2024-07-26_B09X1DHRLN,0
2024-07-01_B09X1F8C23,4
2024-07-02_B09X1F8C23,4
2024-07-03_B09X1F8C23,3
2024-07-04_B09X1F8C23,3
2024-07-05_B09X1F8C23,3
2024-07-06_B09X1F8C23,3
2024-07-07_B09X1F8C23,3
2024-07-08_B09X1F8C23,3
2024-07-09_B09X1F8C23,3
2024-07-10_B09X1F8C23,3
2024-07-11_B09X1F8C23,3
2024-07-12_B09X1F8C23,3
2024-07-13_B09X1F8C23,3
2024-07-14_B09X1F8C23,3
2024-07-15_B09X1F8C23,3
2024-07-01_B09X1FWK8Z,0
2024-07-02_B09X1FWK8Z,0
2024-07-10_B09X1FWK8Z,0
2024-07-11_B09X1FWK8Z,0
2024-07-12_B09X1FWK8Z,0
2024-07-13_B09X1FWK8Z,0
2024-07-16_B09X1FWK8Z,0
2024-07-25_B09X1FWK8Z,0
2024-07-01_B0B31VFJ6Q,2
2024-07-02_B0B31VFJ6Q,3
2024-07-03_B0B31VFJ6Q,3
2024-07-04_B0B31VFJ6Q,3
2024-07-05_B0B31VFJ6Q,3
2024-07-06_B0B31VFJ6Q,4
2024-07-07_B0B31VFJ6Q,4
2024-07-08_B0B31VFJ6Q,4
2024-07-09_B0B31VFJ6Q,4
2024-07-10_B0B31VFJ6Q,4
2024-07-11_B0B31VFJ6Q,4
2024-07-12_B0B31VFJ6Q,4
2024-07-13_B0B31VFJ6Q,4
2024-07-14_B0B31VFJ6Q,4
2024-07-15_B0B31VFJ6Q,5
2024-07-01_B09X1H629F,0
2024-07-02_B09X1H629F,0
2024-07-01_B0B31Y1FDZ,6
2024-07-02_B0B31Y1FDZ,6
2024-07-03_B0B31Y1FDZ,6
2024-07-04_B0B31Y1FDZ,6
2024-07-05_B0B31Y1FDZ,6
2024-07-06_B0B31Y1FDZ,7
2024-07-07_B0B31Y1FDZ,7
2024-07-08_B0B31Y1FDZ,7
2024-07-09_B0B31Y1FDZ,7
2024-07-10_B0B31Y1FDZ,7
2024-07-11_B0B31Y1FDZ,7
2024-07-12_B0B31Y1FDZ,7
2024-07-13_B0B31Y1FDZ,7
2024-07-14_B0B31Y1FDZ,7
2024-07-15_B0B31Y1FDZ,7
2024-07-01_B0B31VTH56,2
2024-07-02_B0B31VTH56,2
2024-07-03_B0B31VTH56,2
2024-07-04_B0B31VTH56,2
2024-07-05_B0B31VTH56,3
2024-07-06_B0B31VTH56,3
2024-07-07_B0B31VTH56,3
2024-07-10_B0B31VTH56,3
2024-07-11_B0B31VTH56,3
2024-07-12_B0B31VTH56,3
2024-07-14_B0B31VTH56,3
2024-07-15_B0B31VTH56,3
2024-07-16_B0B31VTH56,4
2024-07-17_B0B31VTH56,4
2024-07-18_B0B31VTH56,4
2024-07-01_B0B31V3PKG,0
2024-07-02_B0B31V3PKG,0
2024-07-03_B0B31V3PKG,0
2024-07-04_B0B31V3PKG,0
2024-07-05_B0B31V3PKG,0
2024-07-06_B0B31V3PKG,0
2024-07-07_B0B31V3PKG,0
2024-07-08_B0B31V3PKG,0
2024-07-09_B0B31V3PKG,0
2024-07-10_B0B31V3PKG,0
2024-07-11_B0B31V3PKG,0
2024-07-12_B0B31V3PKG,0
2024-07-13_B0B31V3PKG,0
2024-07-14_B0B31V3PKG,0
2024-07-15_B0B31V3PKG,0
2024-07-01_B0B31T1XMH,1
2024-07-02_B0B31T1XMH,1
2024-07-03_B0B31T1XMH,1
2024-07-04_B0B31T1XMH,1
2024-07-05_B0B31T1XMH,1
2024-07-06_B0B31T1XMH,1
2024-07-07_B0B31T1XMH,1
2024-07-08_B0B31T1XMH,1
2024-07-09_B0B31T1XMH,1
2024-07-10_B0B31T1XMH,1
2024-07-11_B0B31T1XMH,1
2024-07-12_B0B31T1XMH,1
2024-07-13_B0B31T1XMH,1
2024-07-14_B0B31T1XMH,1
2024-07-15_B0B31T1XMH,1
2024-07-01_B0B31SM3ZR,0
2024-07-02_B0B31SM3ZR,0
2024-07-03_B0B31SM3ZR,0
2024-07-04_B0B31SM3ZR,0
2024-07-05_B0B31SM3ZR,0
2024-07-06_B0B31SM3ZR,0
2024-07-07_B0B31SM3ZR,0
2024-07-09_B0B31SM3ZR,0
2024-07-10_B0B31SM3ZR,0
2024-07-11_B0B31SM3ZR,0
2024-07-14_B0B31SM3ZR,0
2024-07-16_B0B31SM3ZR,0
2024-07-17_B0B31SM3ZR,0
2024-07-18_B0B31SM3ZR,0
2024-07-19_B0B31SM3ZR,0
2024-07-01_B0B31R1ZBV,6
2024-07-02_B0B31R1ZBV,7
2024-07-03_B0B31R1ZBV,7
2024-07-04_B0B31R1ZBV,7
2024-07-05_B0B31R1ZBV,8
2024-07-06_B0B31R1ZBV,8
2024-07-07_B0B31R1ZBV,8
2024-07-08_B0B31R1ZBV,8
2024-07-09_B0B31R1ZBV,8
2024-07-10_B0B31R1ZBV,8
2024-07-11_B0B31R1ZBV,8
2024-07-12_B0B31R1ZBV,8
2024-07-13_B0B31R1ZBV,8
2024-07-14_B0B31R1ZBV,8
2024-07-15_B0B31R1ZBV,8
2024-07-16_B0B31SVP2Q,0
2024-07-17_B0B31SVP2Q,0
2024-07-18_B0B31SVP2Q,0
2024-07-19_B0B31SVP2Q,0
2024-07-20_B0B31SVP2Q,0
2024-07-21_B0B31SVP2Q,0
2024-07-22_B0B31SVP2Q,0
2024-07-23_B0B31SVP2Q,0
2024-07-24_B0B31SVP2Q,0
2024-07-01_B0B69DK8JN,14
2024-07-02_B0B69DK8JN,15
2024-07-03_B0B69DK8JN,14
2024-07-04_B0B69DK8JN,15
2024-07-05_B0B69DK8JN,15
2024-07-06_B0B69DK8JN,15
2024-07-07_B0B69DK8JN,15
2024-07-08_B0B69DK8JN,15
2024-07-09_B0B69DK8JN,15
2024-07-10_B0B69DK8JN,15
2024-07-11_B0B69DK8JN,15
2024-07-12_B0B69DK8JN,15
2024-07-13_B0B69DK8JN,15
2024-07-14_B0B69DK8JN,15
2024-07-15_B0B69DK8JN,15
